epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8234714269638062,0.9025275111198425,0.0010000000474974513,0.3805084228515625,0.8637259602546692,0.7681350111961365,0.8512173295021057,0.9405915141105652,0.31300437450408936,0.8411552309989929,0.8581951856613159
1,0.8575498461723328,0.9288224577903748,0.0010000000474974513,0.32352858781814575,0.8999754786491394,0.8045145869255066,0.8647429943084717,0.9387759566307068,0.3144626021385193,0.8714555501937866,0.8489871025085449
2,0.8634670376777649,0.9367601871490479,0.0010000000474974513,0.3046432435512543,0.9065947532653809,0.810431718826294,0.8755635619163513,0.9423907995223999,0.2856012284755707,0.9175257682800293,0.8195211887359619
3,0.869055449962616,0.9438889026641846,0.0010000000474974513,0.2874072194099426,0.9073536396026611,0.8220468759536743,0.8746618628501892,0.940596342086792,0.3013627231121063,0.9225941300392151,0.8121547102928162
4,0.8743151426315308,0.9474096298217773,0.0010000000474974513,0.281290203332901,0.9109720587730408,0.8297172784805298,0.8683498501777649,0.9436222910881042,0.30068519711494446,0.8669131398200989,0.8637200593948364
5,0.8820950984954834,0.9516234397888184,0.0010000000474974513,0.26998400688171387,0.9130537509918213,0.8446197509765625,0.8701533079147339,0.9420475363731384,0.2922833561897278,0.8919450044631958,0.8360957503318787
6,0.8879026770591736,0.9587721228599548,0.0005000000237487257,0.24993745982646942,0.9269174933433533,0.8422091007232666,0.8701533079147339,0.9434840083122253,0.2875256836414337,0.8966202735900879,0.8305708765983582
7,0.8954635262489319,0.9619025588035583,0.0005000000237487257,0.2422453612089157,0.9238900542259216,0.8619329333305359,0.8746618628501892,0.9418767094612122,0.31103983521461487,0.948888897895813,0.7863720059394836
8,0.8986412286758423,0.964588463306427,0.0005000000237487257,0.23350244760513306,0.92579585313797,0.8667543530464172,0.8584310412406921,0.9399927258491516,0.3173028528690338,0.8496376872062683,0.8637200593948364
9,0.9063116312026978,0.969208300113678,0.0002500000118743628,0.2186548411846161,0.9293654561042786,0.8794652819633484,0.8746618628501892,0.9412844181060791,0.3040584921836853,0.9208333492279053,0.8139963150024414
